Filename,Expert_1,Expert_2,Expert_3,Expert_4,Expert_5,Majority
1.png,Normal,Normal,Normal,Normal,Normal,Normal
2.png,Normal,Normal,Normal,Normal,Normal,Normal
3.png,Normal,Atypical,Atypical,Atypical,Atypical,Atypical
4.png,Normal,Normal,Normal,Normal,Normal,Normal
5.png,Normal,Normal,Normal,Normal,Normal,Normal
6.png,Normal,Normal,Normal,Normal,Normal,Normal
7.png,Normal,Normal,Normal,Normal,Normal,Normal
8.png,Normal,Normal,Normal,Atypical,Normal,Normal
9.png,Normal,Normal,Normal,Normal,Normal,Normal
10.png,Normal,Normal,Normal,Normal,Normal,Normal
11.png,Normal,Normal,Normal,Normal,Normal,Normal
12.png,Normal,Normal,Normal,Normal,Normal,Normal
13.png,Normal,Normal,Normal,Normal,Normal,Normal
14.png,Normal,Normal,Atypical,Atypical,Atypical,Atypical
15.png,Normal,Normal,Normal,Normal,Normal,Normal
16.png,Atypical,Atypical,Atypical,Atypical,Atypical,Atypical
17.png,Normal,Normal,Normal,Normal,Normal,Normal
18.png,Normal,Normal,Normal,Normal,Normal,Normal
19.png,Normal,Atypical,Normal,Normal,Normal,Normal
20.png,Normal,Normal,Normal,Normal,Normal,Normal
21.png,Normal,Normal,Normal,Normal,Normal,Normal
22.png,Normal,Normal,Normal,Normal,Normal,Normal
23.png,Normal,Normal,Normal,Normal,Normal,Normal
24.png,Normal,Normal,Normal,Normal,Normal,Normal
25.png,Normal,Normal,Normal,Normal,Normal,Normal
26.png,Atypical,Normal,Normal,Atypical,Atypical,Atypical
27.png,Normal,Normal,Normal,Normal,Normal,Normal
28.png,Normal,Normal,Normal,Normal,Normal,Normal
29.png,Normal,Normal,Normal,Normal,Normal,Normal
30.png,Atypical,Atypical,Atypical,Atypical,Atypical,Atypical
31.png,Normal,Normal,Normal,Normal,Normal,Normal
32.png,Normal,Normal,Normal,Normal,Normal,Normal
33.png,Atypical,Normal,Normal,Atypical,Atypical,Atypical
34.png,Normal,Atypical,Normal,Normal,Normal,Normal
35.png,Normal,Normal,Normal,Normal,Normal,Normal
36.png,Atypical,Atypical,Normal,Atypical,Atypical,Atypical
37.png,Atypical,Atypical,Atypical,Atypical,Atypical,Atypical
38.png,Normal,Normal,Normal,Normal,Normal,Normal
39.png,Normal,Normal,Normal,Normal,Normal,Normal
40.png,Normal,Atypical,Normal,Atypical,Atypical,Atypical
41.png,Normal,Normal,Atypical,Atypical,Normal,Normal
42.png,Atypical,Atypical,Atypical,Atypical,Atypical,Atypical
43.png,Normal,Normal,Normal,Normal,Atypical,Normal
44.png,Atypical,Atypical,Atypical,Atypical,Normal,Atypical
45.png,Normal,Atypical,Normal,Normal,Normal,Normal
46.png,Atypical,Atypical,Atypical,Atypical,Atypical,Atypical
47.png,Normal,Normal,Normal,Normal,Normal,Normal
48.png,Normal,Normal,Normal,Normal,Normal,Normal
49.png,Normal,Normal,Normal,Normal,Normal,Normal
50.png,Atypical,Atypical,Atypical,Atypical,Atypical,Atypical
51.png,Normal,Normal,Normal,Normal,Normal,Normal
52.png,Atypical,Atypical,Atypical,Atypical,Normal,Atypical
53.png,Normal,Normal,Atypical,Normal,Normal,Normal
54.png,Normal,Normal,Normal,Normal,Normal,Normal
55.png,Normal,Normal,Normal,Normal,Normal,Normal
56.png,Normal,Normal,Normal,Normal,Normal,Normal
57.png,Atypical,Atypical,Atypical,Atypical,Atypical,Atypical
58.png,Normal,Normal,Normal,Normal,Normal,Normal
59.png,Normal,Atypical,Normal,Normal,Normal,Normal
60.png,Normal,Normal,Normal,Normal,Normal,Normal
61.png,Normal,Normal,Normal,Normal,Normal,Normal
62.png,Normal,Normal,Normal,Normal,Normal,Normal
63.png,Atypical,Atypical,Atypical,Atypical,Atypical,Atypical
64.png,Normal,Normal,Normal,Normal,Normal,Normal
65.png,Normal,Normal,Normal,Normal,Atypical,Normal
66.png,Normal,Normal,Normal,Normal,Normal,Normal
67.png,Normal,Normal,Normal,Normal,Normal,Normal
68.png,Normal,Normal,Normal,Normal,Normal,Normal
69.png,Normal,Normal,Normal,Atypical,Normal,Normal
70.png,Normal,Normal,Normal,Normal,Normal,Normal
71.png,Normal,Normal,Normal,Normal,Normal,Normal
72.png,Normal,Normal,Normal,Normal,Normal,Normal
73.png,Normal,Normal,Normal,Normal,Normal,Normal
74.png,Normal,Normal,Normal,Normal,Normal,Normal
75.png,Normal,Normal,Normal,Normal,Normal,Normal
76.png,Normal,Normal,Normal,Normal,Normal,Normal
77.png,Normal,Normal,Normal,Normal,Normal,Normal
78.png,Normal,Normal,Normal,Normal,Normal,Normal
79.png,Normal,Normal,Normal,Normal,Normal,Normal
80.png,Normal,Normal,Normal,Normal,Normal,Normal
81.png,Normal,Atypical,Normal,Normal,Normal,Normal
82.png,Normal,Normal,Normal,Normal,Normal,Normal
83.png,Normal,Normal,Normal,Normal,Normal,Normal
84.png,Normal,Normal,Normal,Normal,Normal,Normal
85.png,Normal,Normal,Normal,Normal,Normal,Normal
86.png,Atypical,Normal,Atypical,Atypical,Atypical,Atypical
87.png,Normal,Normal,Normal,Normal,Normal,Normal
88.png,Normal,Normal,Normal,Normal,Normal,Normal
89.png,Normal,Normal,Normal,Normal,Normal,Normal
90.png,Normal,Normal,Normal,Normal,Normal,Normal
91.png,Normal,Normal,Normal,Normal,Normal,Normal
92.png,Normal,Normal,Normal,Normal,Normal,Normal
93.png,Normal,Normal,Normal,Normal,Normal,Normal
94.png,Normal,Normal,Normal,Normal,Normal,Normal
95.png,Normal,Normal,Normal,Normal,Normal,Normal
96.png,Normal,Normal,Normal,Normal,Normal,Normal
97.png,Normal,Normal,Normal,Atypical,Normal,Normal
98.png,Normal,Normal,Normal,Normal,Normal,Normal
99.png,Normal,Normal,Normal,Normal,Normal,Normal
100.png,Normal,Normal,Normal,Normal,Normal,Normal
101.png,Normal,Normal,Normal,Normal,Normal,Normal
102.png,Normal,Normal,Normal,Normal,Normal,Normal
103.png,Normal,Normal,Normal,Normal,Normal,Normal
104.png,Normal,Normal,Normal,Normal,Normal,Normal
105.png,Normal,Normal,Normal,Normal,Normal,Normal
106.png,Normal,Normal,Normal,Normal,Normal,Normal
107.png,Normal,Normal,Normal,Normal,Normal,Normal
108.png,Normal,Normal,Normal,Normal,Normal,Normal
109.png,Normal,Normal,Normal,Normal,Normal,Normal
110.png,Atypical,Normal,Normal,Normal,Normal,Normal
111.png,Normal,Normal,Normal,Normal,Normal,Normal
112.png,Normal,Normal,Normal,Normal,Normal,Normal
113.png,Normal,Normal,Normal,Normal,Normal,Normal
114.png,Normal,Normal,Normal,Normal,Normal,Normal
115.png,Normal,Normal,Normal,Normal,Normal,Normal
116.png,Normal,Normal,Normal,Normal,Normal,Normal
117.png,Normal,Normal,Normal,Normal,Normal,Normal
