Unnamed: 0,slide,dataset,uid,final_label,dataset_uid,x,y,expert1_label,expert2_label,expert1_atypical,expert2_atypical,expert3_atypical,majority_atypical
0,002.tiff,MIDOG21,6,Normal,MIDOG21_6.png,4422,216,NMF prometaphase,NMF metaphase,False,False,False,False
1,002.tiff,MIDOG21,7,Atypical,MIDOG21_7.png,1867,1583,AMF segregation,AMF segregation,True,True,True,True
2,002.tiff,MIDOG21,9,Normal,MIDOG21_9.png,5344,3277,NMF metaphase,NMF metaphase,False,False,False,False
3,002.tiff,MIDOG21,10,Normal,MIDOG21_10.png,6267,3218,NMF prometaphase,NMF metaphase,False,False,False,False
4,002.tiff,MIDOG21,13,Normal,MIDOG21_13.png,4661,4319,NMF prometaphase,NMF prometaphase,False,False,True,False
5,002.tiff,MIDOG21,14,Normal,MIDOG21_14.png,1331,4937,NMF metaphase,NMF metaphase,False,False,False,False
6,002.tiff,MIDOG21,17,Normal,MIDOG21_17.png,1316,2783,NMF metaphase,AMF segregation,False,True,False,False
7,002.tiff,MIDOG21,18,Normal,MIDOG21_18.png,3531,2486,NMF metaphase,NMF metaphase,False,False,False,False
8,002.tiff,MIDOG21,20,Normal,MIDOG21_20.png,2197,3257,NMF metaphase,NMF metaphase,False,False,True,False
9,003.tiff,MIDOG21,22,Normal,MIDOG21_22.png,2199,822,NMF anaphase-telophase,NMF anaphase-telophase,False,False,True,False
10,003.tiff,MIDOG21,25,Normal,MIDOG21_25.png,1101,421,NMF prometaphase,AMF segregation,False,True,False,False
11,003.tiff,MIDOG21,26,Normal,MIDOG21_26.png,1044,831,NMF metaphase,NMF metaphase,False,False,False,False
12,003.tiff,MIDOG21,29,Normal,MIDOG21_29.png,4888,456,NMF metaphase,NMF metaphase,False,False,False,False
13,003.tiff,MIDOG21,30,Normal,MIDOG21_30.png,1019,1450,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
14,003.tiff,MIDOG21,31,Normal,MIDOG21_31.png,1110,985,NMF metaphase,NMF metaphase,False,False,False,False
15,003.tiff,MIDOG21,32,Normal,MIDOG21_32.png,5325,2163,NMF metaphase,NMF metaphase,False,False,False,False
16,003.tiff,MIDOG21,34,Normal,MIDOG21_34.png,2640,3145,NMF prometaphase,NMF prometaphase,False,False,False,False
17,003.tiff,MIDOG21,39,Normal,MIDOG21_39.png,3934,3468,NMF anaphase-telophase,NMF anaphase-telophase,False,False,True,False
18,003.tiff,MIDOG21,40,Normal,MIDOG21_40.png,3726,4273,NMF metaphase,NMF metaphase,False,False,False,False
19,003.tiff,MIDOG21,41,Normal,MIDOG21_41.png,3958,4564,NMF metaphase,NMF metaphase,False,False,False,False
20,004.tiff,MIDOG21,46,Normal,MIDOG21_46.png,2236,765,NMF prometaphase,NMF prometaphase,False,False,False,False
21,004.tiff,MIDOG21,48,Normal,MIDOG21_48.png,374,332,NMF metaphase,NMF metaphase,False,False,True,False
22,004.tiff,MIDOG21,60,Normal,MIDOG21_60.png,4272,2852,NMF anaphase-telophase,AMF bipolar assymetric,False,True,False,False
23,005.tiff,MIDOG21,65,Normal,MIDOG21_65.png,1500,3000,NMF metaphase,NMF metaphase,False,False,False,False
24,005.tiff,MIDOG21,66,Atypical,MIDOG21_66.png,6473,2402,NMF prometaphase,AMF other,False,True,True,True
25,005.tiff,MIDOG21,68,Normal,MIDOG21_68.png,4620,3531,NMF metaphase,NMF metaphase,False,False,False,False
26,006.tiff,MIDOG21,80,Normal,MIDOG21_80.png,704,1570,NMF metaphase,NMF metaphase,False,False,False,False
